,HomeTeam,AwayTeam,FTR,PredictedFTR
3345,West Brom,Stoke,NH,
3346,West Ham,Sunderland,H,
3347,Everton,Wigan,H,
3348,Man United,Aston Villa,H,
3349,Chelsea,Bolton,H,
3350,Liverpool,Blackburn,H,
3351,Middlesbrough,Hull,H,
3352,Portsmouth,West Brom,NH,
3353,Stoke,Newcastle,NH,
3354,Sunderland,Man United,NH,
3355,Tottenham,West Ham,H,
3356,Wigan,Arsenal,NH,
3357,Aston Villa,Everton,NH,
3358,Man City,Fulham,NH,
3359,Aston Villa,West Ham,NH,
3360,Middlesbrough,Fulham,NH,
3361,Portsmouth,Bolton,H,
3362,Stoke,Blackburn,H,
3363,Sunderland,Hull,H,
3364,Man City,West Brom,H,
3365,Tottenham,Newcastle,H,
3366,Liverpool,Arsenal,NH,
3367,Chelsea,Everton,NH,
3368,Man United,Portsmouth,H,
3369,Bolton,Aston Villa,NH,
3370,Everton,Man City,NH,
3371,Fulham,Stoke,H,
3372,Hull,Liverpool,NH,
3373,Man United,Tottenham,H,
3374,West Brom,Sunderland,H,
3375,West Ham,Chelsea,NH,
3376,Arsenal,Middlesbrough,H,
3377,Blackburn,Wigan,H,
3378,Newcastle,Portsmouth,NH,
3379,Chelsea,Fulham,H,
3380,Man City,Blackburn,H,
3381,Middlesbrough,Man United,NH,
3382,Portsmouth,Arsenal,NH,
3383,Stoke,West Ham,NH,
3384,Tottenham,West Brom,H,
3385,Wigan,Bolton,NH,
3386,Liverpool,Newcastle,H,
3387,Sunderland,Everton,NH,
3388,Aston Villa,Hull,H,
3389,Blackburn,Portsmouth,H,
3390,Bolton,Sunderland,NH,
3391,Everton,Tottenham,NH,
3392,Fulham,Aston Villa,H,
3393,Hull,Stoke,NH,
3394,West Brom,Wigan,H,
3395,West Ham,Liverpool,NH,
3396,Arsenal,Chelsea,NH,
3397,Man United,Man City,H,
3398,Newcastle,Middlesbrough,H,
3399,Wigan,Man United,NH,
3400,Bolton,Hull,NH,
3401,Everton,West Ham,H,
3402,Man United,Arsenal,NH,
3403,Middlesbrough,Aston Villa,NH,
3404,Newcastle,Fulham,NH,
3405,Stoke,Wigan,H,
3406,Tottenham,Man City,H,
3407,Chelsea,Blackburn,H,
3408,West Brom,Liverpool,NH,
3409,Portsmouth,Sunderland,H,
3410,Arsenal,Stoke,H,
3411,Aston Villa,Newcastle,H,
3412,Blackburn,West Brom,NH,
3413,Fulham,Everton,NH,
3414,Hull,Man United,NH,
3415,Liverpool,Tottenham,H,
3416,Man City,Bolton,H,
3417,Sunderland,Chelsea,NH,
3418,West Ham,Middlesbrough,H,
3419,Wigan,Portsmouth,H,
3420,Aston Villa,Wigan,NH,
3421,Blackburn,Man City,NH,
3422,Bolton,Sunderland,NH,
3423,Chelsea,Hull,H,
3424,Everton,Arsenal,NH,
3425,Portsmouth,Fulham,NH,
3426,Stoke,Burnley,H,
3427,Wolves,West Ham,NH,
3428,Man United,Birmingham,H,
3429,Tottenham,Liverpool,H,
3430,Sunderland,Chelsea,NH,
3431,Wigan,Wolves,NH,
3432,Birmingham,Portsmouth,H,
3433,Burnley,Man United,H,
3434,Hull,Tottenham,NH,
3435,Liverpool,Stoke,H,
3436,Arsenal,Portsmouth,H,
3437,Birmingham,Stoke,NH,
3438,Hull,Bolton,H,
3439,Man City,Wolves,H,
3440,Sunderland,Blackburn,H,
3441,Wigan,Man United,NH,
3442,Burnley,Everton,H,
3443,Fulham,Chelsea,NH,
3444,West Ham,Tottenham,NH,
3445,Liverpool,Aston Villa,NH,
3446,Blackburn,West Ham,NH,
3447,Bolton,Liverpool,NH,
3448,Chelsea,Burnley,H,
3449,Man United,Arsenal,H,
3450,Stoke,Sunderland,H,
3451,Tottenham,Birmingham,H,
3452,Wolves,Hull,NH,
3453,Aston Villa,Fulham,H,
3454,Everton,Wigan,H,
3455,Portsmouth,Man City,NH,
3456,Blackburn,Wolves,H,
3457,Liverpool,Burnley,H,
3458,Man City,Arsenal,H,
3459,Portsmouth,Bolton,NH,
3460,Stoke,Chelsea,NH,
3461,Sunderland,Hull,H,
3462,Tottenham,Man United,NH,
3463,Wigan,West Ham,H,
3464,Birmingham,Aston Villa,NH,
3465,Fulham,Everton,H,
3466,Arsenal,Wigan,H,
3467,Aston Villa,Portsmouth,H,
3468,Bolton,Stoke,NH,
3469,Burnley,Sunderland,H,
3470,Hull,Birmingham,NH,
3471,West Ham,Liverpool,NH,
3472,Chelsea,Tottenham,H,
3473,Everton,Blackburn,H,
3474,Man United,Man City,H,
3475,Wolves,Fulham,H,
3476,Birmingham,Bolton,NH,
3477,Blackburn,Aston Villa,H,
3478,Fulham,Arsenal,NH,
3479,Liverpool,Hull,H,
3480,Portsmouth,Everton,NH,
3481,Stoke,Man United,NH,
3482,Tottenham,Burnley,H,
3483,Wigan,Chelsea,H,
3484,Sunderland,Wolves,H,
3485,Man City,West Ham,H,
3486,Bolton,Tottenham,NH,
3487,Burnley,Birmingham,H,
3488,Hull,Wigan,H,
3489,Man United,Sunderland,NH,
3490,Wolves,Portsmouth,NH,
3491,Arsenal,Blackburn,H,
3492,Chelsea,Liverpool,H,
3493,Everton,Stoke,NH,
3494,West Ham,Fulham,NH,
3495,Aston Villa,Man City,NH,
3496,Arsenal,Birmingham,H,
3497,Aston Villa,Chelsea,H,
3498,Everton,Wolves,NH,
3499,Man United,Bolton,H,
3500,Portsmouth,Tottenham,NH,
3501,Stoke,West Ham,H,
3502,Sunderland,Liverpool,H,
3503,Blackburn,Burnley,H,
3504,Wigan,Man City,NH,
3505,Fulham,Hull,H,
3506,Birmingham,Sunderland,H,
3507,Burnley,Wigan,NH,
3508,Chelsea,Blackburn,H,
3509,Hull,Portsmouth,NH,
3510,Tottenham,Stoke,NH,
3511,Wolves,Aston Villa,NH,
3512,Bolton,Everton,H,
3513,Liverpool,Man United,H,
3514,Man City,Fulham,NH,
3515,West Ham,Arsenal,NH,
3516,Arsenal,Tottenham,H,
3517,Bolton,Chelsea,NH,
3518,Burnley,Hull,H,
3519,Everton,Aston Villa,NH,
3520,Fulham,Liverpool,H,
3521,Man United,Blackburn,H,
3522,Portsmouth,Wigan,H,
3523,Stoke,Wolves,NH,
3524,Sunderland,West Ham,NH,
3525,Birmingham,Man City,NH,
3526,West Ham,Aston Villa,H,
3527,Aston Villa,Bolton,H,
3528,Blackburn,Portsmouth,H,
3529,Man City,Burnley,NH,
3530,Tottenham,Sunderland,H,
3531,Wolves,Arsenal,NH,
3532,Chelsea,Man United,H,
3533,Hull,Stoke,H,
3534,West Ham,Everton,NH,
3535,Wigan,Fulham,NH,
3536,Liverpool,Birmingham,NH,
3537,Birmingham,Fulham,H,
3538,Burnley,Aston Villa,NH,
3539,Chelsea,Wolves,H,
3540,Hull,West Ham,NH,
3541,Liverpool,Man City,NH,
3542,Man United,Everton,H,
3543,Sunderland,Arsenal,H,
3544,Bolton,Blackburn,NH,
3545,Stoke,Portsmouth,H,
3546,Tottenham,Wigan,H,
3547,Fulham,Blackburn,H,
3548,Hull,Everton,H,
3549,Aston Villa,Tottenham,NH,
3550,Blackburn,Stoke,NH,
3551,Fulham,Bolton,NH,
3552,Man City,Hull,NH,
3553,Portsmouth,Man United,NH,
3554,West Ham,Burnley,H,
3555,Wigan,Sunderland,H,
3556,Arsenal,Chelsea,NH,
3557,Everton,Liverpool,NH,
3558,Wolves,Birmingham,NH,
3559,Arsenal,Stoke,H,
3560,Aston Villa,Hull,H,
3561,Blackburn,Liverpool,NH,
3562,Man City,Chelsea,H,
3563,Portsmouth,Burnley,H,
3564,West Ham,Man United,NH,
3565,Wigan,Birmingham,NH,
3566,Wolves,Bolton,H,
3567,Everton,Tottenham,NH,
3568,Fulham,Sunderland,H,
3569,Birmingham,West Ham,H,
3570,Bolton,Man City,NH,
3571,Burnley,Fulham,NH,
3572,Chelsea,Everton,NH,
3573,Hull,Blackburn,NH,
3574,Man United,Aston Villa,NH,
3575,Stoke,Wigan,NH,
3576,Sunderland,Portsmouth,NH,
3577,Tottenham,Wolves,NH,
3578,Liverpool,Arsenal,NH,
3579,Birmingham,Blackburn,H,
3580,Bolton,West Ham,H,
3581,Man United,Wolves,H,
3582,Sunderland,Aston Villa,NH,
3583,Burnley,Arsenal,NH,
3584,Chelsea,Portsmouth,H,
3585,Liverpool,Wigan,H,
3586,Tottenham,Man City,H,
3587,Arsenal,Hull,H,
3588,Aston Villa,Stoke,H,
3589,Blackburn,Tottenham,NH,
3590,Fulham,Man United,H,
3591,Man City,Sunderland,H,
3592,Portsmouth,Liverpool,H,
3593,Everton,Birmingham,NH,
3594,West Ham,Chelsea,NH,
3595,Wolves,Burnley,H,
3596,Birmingham,Chelsea,NH,
3597,Burnley,Bolton,NH,
3598,Fulham,Tottenham,NH,
3599,Liverpool,Wolves,H,
3600,Man City,Stoke,H,
3601,Sunderland,Everton,NH,
3602,West Ham,Portsmouth,H,
3603,Wigan,Blackburn,NH,
3604,Arsenal,Aston Villa,H,
3605,Hull,Man United,NH,
3606,Blackburn,Sunderland,NH,
3607,Chelsea,Fulham,H,
3608,Everton,Burnley,H,
3609,Stoke,Birmingham,NH,
3610,Tottenham,West Ham,H,
3611,Wolves,Man City,NH,
3612,Aston Villa,Liverpool,NH,
3613,Bolton,Hull,NH,
3614,Man United,Wigan,H,
3615,Portsmouth,Arsenal,NH,
3616,Stoke,Fulham,H,
3617,Arsenal,Everton,NH,
3618,Birmingham,Man United,NH,
3619,Man City,Blackburn,H,
3620,Chelsea,Sunderland,H,
3621,Everton,Man City,H,
3622,Man United,Burnley,H,
3623,Stoke,Liverpool,NH,
3624,Tottenham,Hull,NH,
3625,Wolves,Wigan,NH,
3626,Aston Villa,West Ham,NH,
3627,Blackburn,Fulham,H,
3628,Bolton,Arsenal,NH,
3629,Arsenal,Bolton,H,
3630,Liverpool,Tottenham,H,
3631,Man United,Hull,H,
3632,Bolton,Burnley,H,
3633,Portsmouth,West Ham,NH,
3634,Tottenham,Fulham,H,
3635,Wolves,Liverpool,NH,
3636,Aston Villa,Arsenal,NH,
3637,Blackburn,Wigan,H,
3638,Chelsea,Birmingham,H,
3639,Everton,Sunderland,H,
3640,Birmingham,Tottenham,NH,
3641,Burnley,Chelsea,NH,
3642,Fulham,Aston Villa,NH,
3643,Hull,Wolves,NH,
3644,Liverpool,Bolton,H,
3645,West Ham,Blackburn,NH,
3646,Wigan,Everton,NH,
3647,Arsenal,Man United,NH,
3648,Man City,Portsmouth,H,
3649,Sunderland,Stoke,NH,
3650,Hull,Chelsea,NH,
3651,Fulham,Portsmouth,H,
3652,Bolton,Fulham,NH,
3653,Burnley,West Ham,H,
3654,Hull,Man City,H,
3655,Liverpool,Everton,H,
3656,Man United,Portsmouth,H,
3657,Stoke,Blackburn,H,
3658,Sunderland,Wigan,NH,
3659,Tottenham,Aston Villa,NH,
3660,Birmingham,Wolves,H,
3661,Chelsea,Arsenal,H,
3662,Fulham,Burnley,H,
3663,Man City,Bolton,H,
3664,Portsmouth,Sunderland,NH,
3665,Wigan,Stoke,NH,
3666,Arsenal,Liverpool,H,
3667,Aston Villa,Man United,NH,
3668,Blackburn,Hull,H,
3669,Everton,Chelsea,H,
3670,West Ham,Birmingham,H,
3671,Wolves,Tottenham,H,
3672,Stoke,Man City,NH,
3673,Wigan,Bolton,NH,
3674,Arsenal,Sunderland,H,
3675,Everton,Man United,H,
3676,Portsmouth,Stoke,NH,
3677,West Ham,Hull,H,
3678,Wolves,Chelsea,NH,
3679,Aston Villa,Burnley,H,
3680,Blackburn,Bolton,H,
3681,Fulham,Birmingham,H,
3682,Man City,Liverpool,NH,
3683,Wigan,Tottenham,NH,
3684,Man United,West Ham,H,
3685,Birmingham,Wigan,H,
3686,Bolton,Wolves,H,
3687,Burnley,Portsmouth,NH,
3688,Chelsea,Man City,NH,
3689,Stoke,Arsenal,NH,
3690,Liverpool,Blackburn,H,
3691,Sunderland,Fulham,NH,
3692,Tottenham,Everton,H,
3693,Arsenal,Burnley,H,
3694,West Ham,Bolton,NH,
3695,Wolves,Man United,NH,
3696,Everton,Hull,H,
3697,Wigan,Liverpool,H,
3698,Portsmouth,Birmingham,NH,
3699,Sunderland,Bolton,H,
3700,Burnley,Stoke,NH,
3701,Birmingham,Everton,NH,
3702,Bolton,Wigan,H,
3703,Burnley,Wolves,NH,
3704,Chelsea,West Ham,H,
3705,Hull,Arsenal,NH,
3706,Stoke,Aston Villa,NH,
3707,Tottenham,Blackburn,H,
3708,Man United,Fulham,H,
3709,Sunderland,Man City,NH,
3710,Liverpool,Portsmouth,H,
3711,Wigan,Aston Villa,NH,
3712,Arsenal,West Ham,H,
3713,Aston Villa,Wolves,NH,
3714,Everton,Bolton,H,
3715,Portsmouth,Hull,H,
3716,Stoke,Tottenham,NH,
3717,Sunderland,Birmingham,H,
3718,Wigan,Burnley,H,
3719,Blackburn,Chelsea,NH,
3720,Fulham,Man City,NH,
3721,Man United,Liverpool,H,
3722,West Ham,Wolves,NH,
3723,Aston Villa,Sunderland,NH,
3724,Blackburn,Birmingham,H,
3725,Man City,Everton,NH,
3726,Portsmouth,Chelsea,NH,
3727,Birmingham,Arsenal,NH,
3728,Bolton,Man United,NH,
3729,Chelsea,Aston Villa,H,
3730,Hull,Fulham,H,
3731,Tottenham,Portsmouth,H,
3732,West Ham,Stoke,NH,
3733,Wolves,Everton,NH,
3734,Burnley,Blackburn,NH,
3735,Liverpool,Sunderland,H,
3736,Man City,Wigan,H,
3737,Arsenal,Wolves,H,
3738,Bolton,Aston Villa,NH,
3739,Burnley,Man City,NH,
3740,Man United,Chelsea,NH,
3741,Portsmouth,Blackburn,NH,
3742,Stoke,Hull,H,
3743,Sunderland,Tottenham,H,
3744,Birmingham,Liverpool,NH,
3745,Everton,West Ham,NH,
3746,Fulham,Wigan,H,
3747,Hull,Burnley,NH,
3748,West Ham,Sunderland,H,
3749,Blackburn,Man United,NH,
3750,Liverpool,Fulham,NH,
3751,Man City,Birmingham,H,
3752,Wolves,Stoke,NH,
3753,Chelsea,Bolton,H,
3754,Aston Villa,Everton,NH,
3755,Tottenham,Arsenal,H,
3756,Wigan,Portsmouth,NH,
3757,Birmingham,Hull,NH,
3758,Blackburn,Everton,NH,
3759,Fulham,Wolves,NH,
3760,Man City,Man United,NH,
3761,Stoke,Bolton,NH,
3762,Sunderland,Burnley,H,
3763,Tottenham,Chelsea,H,
3764,Portsmouth,Aston Villa,NH,
3765,Wigan,Arsenal,H,
3766,Liverpool,West Ham,H,
3767,Hull,Aston Villa,NH,
3768,Arsenal,Man City,NH,
3769,Bolton,Portsmouth,NH,
3770,Hull,Sunderland,NH,
3771,Man United,Tottenham,H,
3772,West Ham,Wigan,H,
3773,Wolves,Blackburn,NH,
3774,Aston Villa,Birmingham,H,
3775,Burnley,Liverpool,NH,
3776,Chelsea,Stoke,H,
3777,Everton,Fulham,H,
3778,Birmingham,Burnley,H,
3779,Man City,Aston Villa,H,
3780,Portsmouth,Wolves,H,
3781,Stoke,Everton,NH,
3782,Tottenham,Bolton,H,
3783,Fulham,West Ham,H,
3784,Liverpool,Chelsea,NH,
3785,Sunderland,Man United,NH,
3786,Blackburn,Arsenal,H,
3787,Wigan,Hull,NH,
3788,Fulham,Stoke,NH,
3789,Man City,Tottenham,NH,
3790,Arsenal,Fulham,H,
3791,Aston Villa,Blackburn,NH,
3792,Bolton,Birmingham,H,
3793,Burnley,Tottenham,H,
3794,Chelsea,Wigan,H,
3795,Everton,Portsmouth,H,
3796,Hull,Liverpool,NH,
3797,Man United,Stoke,H,
3798,West Ham,Man City,NH,
3799,Wolves,Sunderland,H,
3800,Aston Villa,West Ham,H,
3801,Blackburn,Everton,H,
3802,Bolton,Fulham,NH,
3803,Chelsea,West Brom,H,
3804,Sunderland,Birmingham,NH,
3805,Tottenham,Man City,NH,
3806,Wigan,Blackpool,NH,
3807,Wolves,Stoke,H,
3808,Liverpool,Arsenal,NH,
3809,Man United,Newcastle,H,
3810,Arsenal,Blackpool,H,
3811,Birmingham,Blackburn,H,
3812,Everton,Wolves,NH,
3813,Stoke,Tottenham,NH,
3814,West Brom,Sunderland,H,
3815,West Ham,Bolton,NH,
3816,Wigan,Chelsea,NH,
3817,Fulham,Man United,NH,
3818,Newcastle,Aston Villa,H,
3819,Man City,Liverpool,H,
3820,Blackburn,Arsenal,NH,
3821,Blackpool,Fulham,NH,
3822,Chelsea,Stoke,H,
3823,Man United,West Ham,H,
3824,Tottenham,Wigan,NH,
3825,Wolves,Newcastle,NH,
3826,Aston Villa,Everton,H,
3827,Bolton,Birmingham,NH,
3828,Liverpool,West Brom,H,
3829,Sunderland,Man City,H,
3830,Arsenal,Bolton,H,
3831,Everton,Man United,NH,
3832,Fulham,Wolves,H,
3833,Man City,Blackburn,NH,
3834,Newcastle,Blackpool,NH,
3835,West Brom,Tottenham,NH,
3836,West Ham,Chelsea,NH,
3837,Wigan,Sunderland,NH,
3838,Birmingham,Liverpool,NH,
3839,Stoke,Aston Villa,H,
3840,Aston Villa,Bolton,NH,
3841,Blackburn,Fulham,NH,
3842,Everton,Newcastle,NH,
3843,Stoke,West Ham,NH,
3844,Sunderland,Arsenal,NH,
3845,Tottenham,Wolves,H,
3846,West Brom,Birmingham,H,
3847,Chelsea,Blackpool,H,
3848,Man United,Liverpool,H,
3849,Wigan,Man City,NH,
3850,Arsenal,West Brom,NH,
3851,Birmingham,Wigan,NH,
3852,Blackpool,Blackburn,NH,
3853,Fulham,Everton,NH,
3854,Liverpool,Sunderland,NH,
3855,Man City,Chelsea,H,
3856,West Ham,Tottenham,H,
3857,Bolton,Man United,NH,
3858,Newcastle,Stoke,NH,
3859,Wolves,Aston Villa,NH,
3860,Birmingham,Everton,NH,
3861,Stoke,Blackburn,H,
3862,Sunderland,Man United,NH,
3863,Tottenham,Aston Villa,H,
3864,West Brom,Bolton,NH,
3865,West Ham,Fulham,NH,
3866,Wigan,Wolves,H,
3867,Chelsea,Arsenal,H,
3868,Liverpool,Blackpool,NH,
3869,Man City,Newcastle,H,
3870,Arsenal,Birmingham,H,
3871,Aston Villa,Chelsea,NH,
3872,Bolton,Stoke,H,
3873,Fulham,Tottenham,NH,
3874,Man United,West Brom,NH,
3875,Newcastle,Wigan,NH,
3876,Wolves,West Ham,NH,
3877,Blackpool,Man City,NH,
3878,Everton,Liverpool,H,
3879,Blackburn,Sunderland,NH,
3880,Birmingham,Blackpool,H,
3881,Chelsea,Wolves,H,
3882,Sunderland,Aston Villa,H,
3883,Tottenham,Everton,NH,
3884,West Brom,Fulham,H,
3885,West Ham,Newcastle,NH,
3886,Wigan,Bolton,NH,
3887,Liverpool,Blackburn,H,
3888,Man City,Arsenal,NH,
3889,Stoke,Man United,NH,
3890,Arsenal,West Ham,H,
3891,Blackburn,Chelsea,NH,
3892,Everton,Stoke,H,
3893,Fulham,Wigan,H,
3894,Man United,Tottenham,H,
3895,Wolves,Man City,H,
3896,Aston Villa,Birmingham,NH,
3897,Bolton,Liverpool,NH,
3898,Newcastle,Sunderland,H,
3899,Blackpool,West Brom,H,
3900,Birmingham,West Ham,NH,
3901,Blackburn,Wigan,H,
3902,Blackpool,Everton,NH,
3903,Bolton,Tottenham,H,
3904,Fulham,Aston Villa,NH,
3905,Man United,Wolves,H,
3906,Sunderland,Stoke,H,
3907,Arsenal,Newcastle,NH,
3908,Liverpool,Chelsea,H,
3909,West Brom,Man City,NH,
3910,Stoke,Birmingham,H,
3911,Tottenham,Sunderland,NH,
3912,Aston Villa,Blackpool,H,
3913,Chelsea,Fulham,H,
3914,Everton,Bolton,NH,
3915,Man City,Man United,NH,
3916,Newcastle,Blackburn,NH,
3917,West Ham,West Brom,NH,
3918,Wigan,Liverpool,NH,
3919,Wolves,Arsenal,NH,
3920,Aston Villa,Man United,NH,
3921,Man City,Birmingham,NH,
3922,Newcastle,Fulham,NH,
3923,Stoke,Liverpool,H,
3924,Tottenham,Blackburn,H,
3925,West Ham,Blackpool,NH,
3926,Wigan,West Brom,H,
3927,Wolves,Bolton,NH,
3928,Chelsea,Sunderland,NH,
3929,Everton,Arsenal,NH,
3930,Arsenal,Tottenham,NH,
3931,Birmingham,Chelsea,H,
3932,Blackpool,Wolves,H,
3933,Bolton,Newcastle,H,
3934,Liverpool,West Ham,H,
3935,Man United,Wigan,H,
3936,West Brom,Stoke,NH,
3937,Blackburn,Aston Villa,H,
3938,Fulham,Man City,NH,
3939,Sunderland,Everton,NH,
3940,Aston Villa,Arsenal,NH,
3941,Bolton,Blackpool,NH,
3942,Everton,West Brom,NH,
3943,Fulham,Birmingham,NH,
3944,Man United,Blackburn,H,
3945,Stoke,Man City,NH,
3946,West Ham,Wigan,H,
3947,Wolves,Sunderland,H,
3948,Newcastle,Chelsea,NH,
3949,Tottenham,Liverpool,H,
3950,Arsenal,Fulham,H,
3951,Birmingham,Tottenham,NH,
3952,Blackburn,Wolves,H,
3953,Chelsea,Everton,NH,
3954,Man City,Bolton,H,
3955,Wigan,Stoke,NH,
3956,Sunderland,West Ham,H,
3957,West Brom,Newcastle,H,
3958,Liverpool,Aston Villa,H,
3959,Aston Villa,West Brom,H,
3960,Everton,Wigan,NH,
3961,Fulham,Sunderland,NH,
3962,Newcastle,Liverpool,H,
3963,Stoke,Blackpool,NH,
3964,West Ham,Man City,NH,
3965,Bolton,Blackburn,H,
3966,Tottenham,Chelsea,NH,
3967,Wolves,Birmingham,H,
3968,Man United,Arsenal,H,
3969,Blackburn,West Ham,NH,
3970,Sunderland,Bolton,H,
3971,Man City,Everton,NH,
3972,Aston Villa,Tottenham,NH,
3973,Blackburn,Stoke,NH,
3974,Bolton,West Brom,H,
3975,Fulham,West Ham,NH,
3976,Man United,Sunderland,H,
3977,Newcastle,Man City,NH,
3978,Wolves,Wigan,NH,
3979,Arsenal,Chelsea,H,
3980,Birmingham,Man United,NH,
3981,Man City,Aston Villa,H,
3982,Stoke,Fulham,NH,
3983,Sunderland,Blackpool,NH,
3984,Tottenham,Newcastle,H,
3985,West Brom,Blackburn,NH,
3986,West Ham,Everton,NH,
3987,Chelsea,Bolton,H,
3988,Liverpool,Wolves,NH,
3989,Wigan,Arsenal,NH,
3990,Birmingham,Arsenal,NH,
3991,Liverpool,Bolton,H,
3992,Man City,Blackpool,H,
3993,Stoke,Everton,H,
3994,Sunderland,Blackburn,H,
3995,Tottenham,Fulham,H,
3996,West Brom,Man United,NH,
3997,West Ham,Wolves,H,
3998,Chelsea,Aston Villa,NH,
3999,Wigan,Newcastle,NH,
4000,Blackpool,Birmingham,NH,
4001,Fulham,West Brom,H,
4002,Man United,Stoke,H,
4003,Arsenal,Man City,NH,
4004,Aston Villa,Sunderland,NH,
4005,Blackburn,Liverpool,H,
4006,Bolton,Wigan,NH,
4007,Everton,Tottenham,H,
4008,Newcastle,West Ham,H,
4009,Wolves,Chelsea,H,
4010,Blackpool,Liverpool,H,
4011,Chelsea,Blackburn,H,
4012,Man City,Wolves,H,
4013,Stoke,Bolton,H,
4014,West Brom,Blackpool,H,
4015,West Ham,Arsenal,NH,
4016,Wigan,Fulham,NH,
4017,Birmingham,Aston Villa,NH,
4018,Liverpool,Everton,NH,
4019,Sunderland,Newcastle,NH,
4020,Tottenham,Man United,NH,
4021,Arsenal,Wigan,H,
4022,Aston Villa,Man City,H,
4023,Blackpool,Sunderland,NH,
4024,Everton,West Ham,NH,
4025,Fulham,Stoke,H,
4026,Man United,Birmingham,H,
4027,Newcastle,Tottenham,NH,
4028,Wolves,Liverpool,NH,
4029,Blackburn,West Brom,H,
4030,Bolton,Chelsea,NH,
4031,Blackpool,Man United,NH,
4032,Wigan,Aston Villa,NH,
4033,Liverpool,Fulham,H,
4034,Arsenal,Everton,H,
4035,Man United,Aston Villa,H,
4036,Sunderland,Chelsea,NH,
4037,West Brom,Wigan,NH,
4038,Birmingham,Man City,NH,
4039,Blackburn,Tottenham,NH,
4040,Blackpool,West Ham,NH,
4041,Bolton,Wolves,H,
4042,Fulham,Newcastle,H,
4043,Liverpool,Stoke,H,
4044,Aston Villa,Fulham,NH,
4045,Everton,Blackpool,H,
4046,Man City,West Brom,H,
4047,Newcastle,Arsenal,NH,
4048,Stoke,Sunderland,H,
4049,Tottenham,Bolton,H,
4050,Wigan,Blackburn,H,
4051,Wolves,Man United,H,
4052,Chelsea,Liverpool,NH,
4053,West Ham,Birmingham,NH,
4054,Arsenal,Wolves,H,
4055,Birmingham,Stoke,H,
4056,Blackburn,Newcastle,NH,
4057,Blackpool,Aston Villa,NH,
4058,Liverpool,Wigan,NH,
4059,Man United,Man City,H,
4060,Sunderland,Tottenham,NH,
4061,West Brom,West Ham,NH,
4062,Bolton,Everton,H,
4063,Fulham,Chelsea,NH,
4064,Birmingham,Newcastle,NH,
4065,West Brom,Wolves,NH,
4066,Blackpool,Tottenham,H,
4067,Arsenal,Stoke,H,
4068,Aston Villa,Blackburn,H,
4069,Everton,Sunderland,H,
4070,Newcastle,Bolton,NH,
4071,Wigan,Man United,NH,
4072,Wolves,Blackpool,H,
4073,Man City,Fulham,NH,
4074,West Ham,Liverpool,H,
4075,Stoke,West Brom,NH,
4076,Chelsea,Man United,H,
4077,Arsenal,Sunderland,NH,
4078,Birmingham,West Brom,NH,
4079,Bolton,Aston Villa,H,
4080,Fulham,Blackburn,H,
4081,Man City,Wigan,H,
4082,Newcastle,Everton,NH,
4083,West Ham,Stoke,H,
4084,Liverpool,Man United,H,
4085,Wolves,Tottenham,NH,
4086,Blackpool,Chelsea,NH,
4087,Everton,Birmingham,NH,
4088,Aston Villa,Wolves,NH,
4089,Blackburn,Blackpool,NH,
4090,Everton,Fulham,H,
4091,Man United,Bolton,H,
4092,Stoke,Newcastle,H,
4093,Tottenham,West Ham,NH,
4094,West Brom,Arsenal,NH,
4095,Wigan,Birmingham,H,
4096,Chelsea,Man City,H,
4097,Sunderland,Liverpool,NH,
4098,Arsenal,Blackburn,NH,
4099,Birmingham,Bolton,H,
4100,Everton,Aston Villa,NH,
4101,Newcastle,Wolves,H,
4102,Stoke,Chelsea,NH,
4103,West Brom,Liverpool,H,
4104,West Ham,Man United,NH,
4105,Wigan,Tottenham,NH,
4106,Fulham,Blackpool,H,
4107,Man City,Sunderland,H,
4108,Blackburn,Birmingham,NH,
4109,Bolton,West Ham,H,
4110,Chelsea,Wigan,H,
4111,Man United,Fulham,H,
4112,Sunderland,West Brom,NH,
4113,Tottenham,Stoke,H,
4114,Wolves,Everton,NH,
4115,Aston Villa,Newcastle,H,
4116,Blackpool,Arsenal,NH,
4117,Liverpool,Man City,H,
4118,Birmingham,Sunderland,H,
4119,Blackpool,Wigan,NH,
4120,Everton,Blackburn,H,
4121,West Brom,Chelsea,NH,
4122,West Ham,Aston Villa,NH,
4123,Arsenal,Liverpool,NH,
4124,Newcastle,Man United,NH,
4125,Chelsea,Birmingham,H,
4126,Tottenham,Arsenal,NH,
4127,Aston Villa,Stoke,NH,
4128,Blackpool,Newcastle,NH,
4129,Chelsea,West Ham,H,
4130,Liverpool,Birmingham,H,
4131,Man United,Everton,H,
4132,Sunderland,Wigan,H,
4133,Tottenham,West Brom,NH,
4134,Wolves,Fulham,NH,
4135,Bolton,Arsenal,H,
4136,Blackburn,Man City,NH,
4137,Stoke,Wolves,H,
4138,Fulham,Bolton,H,
4139,Blackburn,Bolton,H,
4140,Blackpool,Stoke,NH,
4141,Chelsea,Tottenham,H,
4142,Sunderland,Fulham,NH,
4143,West Brom,Aston Villa,H,
4144,Wigan,Everton,NH,
4145,Arsenal,Man United,H,
4146,Birmingham,Wolves,NH,
4147,Liverpool,Newcastle,H,
4148,Man City,West Ham,H,
4149,Aston Villa,Wigan,NH,
4150,Bolton,Sunderland,NH,
4151,Everton,Man City,H,
4152,Newcastle,Birmingham,H,
