,HomeTeam,AwayTeam,FTR,PredictedFTR
304,Charlton,Leicester,H,H
305,Southampton,Ipswich,NH,NH
306,Aston Villa,Leicester,H,NH
307,Aston Villa,West Ham,NH,H
308,Derby,Chelsea,NH,H
309,Leeds,Southampton,H,NH
310,Leicester,Coventry,NH,NH
311,Everton,Man City,H,NH
312,Middlesbrough,Sunderland,NH,NH
313,Ipswich,Liverpool,NH,NH
314,Man United,Charlton,H,NH
315,Tottenham,Bradford,H,NH
316,Man City,Arsenal,NH,NH
317,Bradford,Charlton,H,NH
318,Liverpool,Leeds,NH,NH
319,Arsenal,Middlesbrough,NH,H
320,Aston Villa,Everton,H,H
321,Chelsea,Southampton,H,NH
322,Ipswich,Newcastle,H,NH
323,Leicester,Man City,NH,H
324,Man United,Coventry,H,NH
325,Sunderland,Tottenham,NH,H
326,West Ham,Derby,H,NH
327,Coventry,Sunderland,H,H
328,Derby,Leicester,H,H
329,Everton,Liverpool,NH,H
330,Middlesbrough,Ipswich,NH,NH
331,Newcastle,West Ham,H,NH
332,Charlton,Aston Villa,NH,NH
333,Tottenham,Chelsea,NH,H
334,Arsenal,Everton,H,NH
335,Aston Villa,Southampton,NH,H
336,Bradford,Derby,H,NH
337,Chelsea,Charlton,NH,H
338,Ipswich,Coventry,H,NH
339,Leicester,Middlesbrough,NH,H
340,Man United,Man City,NH,H
341,Sunderland,Newcastle,NH,H
342,West Ham,Leeds,NH,NH
343,Liverpool,Tottenham,H,NH
344,Coventry,Liverpool,NH,NH
345,Derby,Arsenal,NH,H
346,Everton,Bradford,H,NH
347,Leeds,Chelsea,H,H
348,Man City,West Ham,H,NH
349,Middlesbrough,Man United,NH,NH
350,Newcastle,Leicester,H,NH
351,Southampton,Sunderland,NH,H
352,Tottenham,Aston Villa,NH,H
353,Charlton,Ipswich,H,H
354,Bradford,Liverpool,NH,H
355,Newcastle,Southampton,NH,NH
356,Arsenal,Leeds,H,H
357,Aston Villa,Coventry,H,NH
358,Bradford,Middlesbrough,NH,NH
359,Chelsea,Everton,H,H
360,Leicester,Tottenham,H,H
361,Liverpool,Newcastle,H,H
362,Man United,Derby,NH,NH
363,Sunderland,Charlton,H,NH
364,West Ham,Southampton,H,H
365,Ipswich,Man City,H,H
366,Liverpool,Chelsea,NH,NH
367,Leeds,Bradford,H,H
368,Southampton,Man United,H,H
369,Newcastle,Arsenal,NH,NH
370,Charlton,Liverpool,NH,NH
371,Coventry,Bradford,NH,H
372,Derby,Ipswich,NH,NH
373,Everton,Sunderland,NH,NH
374,Leeds,Leicester,H,H
375,Man City,Chelsea,NH,NH
376,Middlesbrough,West Ham,H,H
377,Newcastle,Aston Villa,H,NH
378,Southampton,Arsenal,H,NH
379,Tottenham,Man United,H,H
380,Charlton,Everton,NH,NH
381,Derby,Blackburn,H,NH
382,Leeds,Southampton,H,H
383,Leicester,Bolton,NH,NH
384,Liverpool,West Ham,H,H
385,Middlesbrough,Arsenal,NH,NH
386,Sunderland,Ipswich,H,NH
387,Tottenham,Aston Villa,NH,H
388,Chelsea,Newcastle,NH,NH
389,Man United,Fulham,H,NH
390,Everton,Tottenham,NH,NH
391,Arsenal,Leeds,NH,NH
392,Bolton,Middlesbrough,H,H
393,Ipswich,Derby,H,H
394,Blackburn,Man United,NH,H
395,Fulham,Sunderland,H,H
396,Arsenal,Leicester,H,H
397,Blackburn,Tottenham,H,H
398,Everton,Middlesbrough,H,NH
399,Fulham,Derby,NH,NH
400,Ipswich,Charlton,NH,H
401,Southampton,Chelsea,NH,NH
402,West Ham,Leeds,NH,H
403,Aston Villa,Man United,NH,NH
404,Newcastle,Sunderland,NH,H
405,Bolton,Liverpool,H,H
406,Chelsea,Arsenal,NH,H
407,Derby,West Ham,NH,H
408,Leeds,Bolton,NH,NH
409,Leicester,Ipswich,NH,NH
410,Liverpool,Aston Villa,NH,NH
411,Man United,Everton,H,H
412,Middlesbrough,Newcastle,NH,NH
413,Sunderland,Blackburn,H,H
414,Charlton,Fulham,NH,NH
415,Tottenham,Southampton,H,H
416,Bolton,Southampton,NH,H
417,Derby,Leicester,NH,NH
418,Everton,Liverpool,NH,NH
419,Fulham,Arsenal,NH,H
420,Middlesbrough,West Ham,H,H
421,Newcastle,Man United,H,H
422,Aston Villa,Sunderland,NH,NH
423,Charlton,Leeds,NH,H
424,Ipswich,Blackburn,NH,H
425,Tottenham,Chelsea,NH,NH
426,Leicester,Middlesbrough,NH,H
427,Blackburn,Bolton,NH,NH
428,Sunderland,Tottenham,NH,H
